price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
127820;Onn 4k Google Tv 8gb + 2 Gb Ram + Fuente + Remoto;MLA352001;127820;9;new;2025-03-11T00:47:30.986Z;San Telmo;Capital Federal;Argentina
201397.88;Google Chromecast Google Tv De Voz 4k 8gb Cargador Original;MLA352001;201397.88;415;new;2022-02-03T00:07:05.000Z;Martin Coronado;Buenos Aires;Argentina
211942.76;Google Chromecast With Google Tv De Voz 4k Cargador Original;MLA352001;211942.76;39;new;2023-06-08T00:44:50.000Z;Martin Coronado;Buenos Aires;Argentina
599999;Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto;MLA352001;599999;194;new;2024-12-24T01:48:08.911Z;San Nicolás;Capital Federal;Argentina
154999;Google Chromecast 4 4ta Generac Streaming Tv Box 4k 8gb 2gb ;MLA352001;154999;240;new;2021-02-25T17:45:02.000Z;San Cristóbal;Capital Federal;Argentina
112827.36;Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto;MLA352001;112827.36;73;new;2020-11-20T17:42:16.000Z;Barrio Norte;Capital Federal;Argentina
211995.76; Chromecast 4 + Google Tv 4k Cargador Original Cuot.s S/ Int;MLA352001;211995.76;20;new;2021-06-08T01:58:48.000Z;Martin Coronado;Buenos Aires;Argentina
177534.44;Google Tv Streamer 4k 2024 32gb. Hdr Control Remoto Blanco;MLA352001;177534.44;10;new;2025-03-12T15:10:37.180Z;Hialeah;Florida;United States of America
172000;Chromecast  Google Tv De Voz 4 Generación 4k 8gb Snow;MLA352001;172000;84;new;2024-08-15T13:49:26.654Z;Villa Crespo;Capital Federal;Argentina
172000;Chromecast With Google Tv De Voz 4a Generación 4k 8gb Snow;MLA352001;172000;14;new;2024-11-26T21:11:40.281Z;Villa Crespo;Capital Federal;Argentina
272310.4;Streamer Google Tv 4k Hdr Androidtvm, Blanco;MLA352001;272310.4;50;new;2024-12-15T18:10:35.652Z;Davie;Florida;United States of America
211953.36;Google Chromecast With Google Tv 4 K + Cargador Original ;MLA352001;211953.36;66;new;2022-08-10T23:11:54.000Z;Martin Coronado;Buenos Aires;Argentina
225000;Chromecast With Google Tv De Voz 4a Generación 4k 8gb Snow C;MLA352001;225000;50;new;2025-03-11T16:54:37.698Z;Núñez;Capital Federal;Argentina
154999;Google Chromecast 4 4k Ga01919 8gb 2gb + Cargador + Control;MLA352001;154999;404;new;2024-07-31T22:53:00.429Z;Escobar;Buenos Aires;Argentina
201396.82;Google Chromecast With Google Tv De Voz 4k 8gb + Fuente 220!;MLA352001;201396.82;47;new;2022-08-10T23:15:07.000Z;Martin Coronado;Buenos Aires;Argentina
